Speaker Laber,Gender,Word,Vowel Phoneme,Class Label,Formant 1,Formant 2,Formant 3
alw001,F,hood,UH,1,524.21,1059.08,3130.83
alw001,F,hid,IH,2,455.42,2563.73,3190.62
alw001,F,had,AE,3,1009.08,1707.87,2704.19
cxb001,F,hood,UH,1,527.77,954.96,2817.49
cxb001,F,hid,IH,2,362.49,2756.69,3183.99
cxb001,F,had,AE,3,918.46,1714.32,2648.71
jah001,F,hood,UH,1,590.43,1490.29,3038.2
jah001,F,hid,IH,2,495.04,2711.74,3298.63
jah001,F,had,AE,3,971.96,1792.41,2927.74
jep001,F,hood,UH,1,700.64,1649.34,2968.13
jep001,F,hid,IH,2,539.14,2318.49,2805.85
jep001,F,had,AE,3,1162.05,1833.44,2719.48
knb001,F,hood,UH,1,528.27,1319.83,2902.5
knb001,F,hid,IH,2,479.43,2574.3,3108.97
knb001,F,had,AE,3,947.72,1807.17,3002.42
ajh001,M,hood,UH,1,412.7,1178.03,3038.55
ajh001,M,hid,IH,2,353.25,2247.53,2980.17
ajh001,M,had,AE,3,807.88,1464.96,2528.47
apd001,M,hood,UH,1,885.8,2744.87,3582.78
apd001,M,hid,IH,2,348.06,2178.94,2760.21
apd001,M,had,AE,3,730.1,1458.81,2588.4
ars001,M,hood,UH,1,475.76,910.49,2399.76
ars001,M,hid,IH,2,378.25,2001.62,2679.57
ars001,M,had,AE,3,722.2,1610.32,2539.5
axm001,M,hood,UH,1,854.18,1805.55,2952.79
axm001,M,hid,IH,2,456.45,2046.34,2643.57
axm001,M,had,AE,3,857.2,1467.36,2640.54
ikp001,M,hood,UH,1,1028.93,2291.25,3192.28
ikp001,M,hid,IH,2,293.51,2337.98,3077.19
ikp001,M,had,AE,3,806.07,1573.7,2677.32
cxc001,F,hid,IH,2,554.62,2398.75,2844.27
cxc001,F,had,AE,3,993.76,1562.96,2238.95
cxc001,F,hood,UH,1,476.54,1463.9,2573.36
dmc001,F,hid,IH,2,523.79,2400.91,3201.89
dmc001,F,had,AE,3,734.68,1681.66,2685.38
dmc001,F,hood,UH,1,416.25,1677.94,2888.33
ejr001,F,hid,IH,2,448.78,2425.81,2989.32
ejr001,F,had,AE,3,1048.66,1732.22,2822.76
ejr001,F,hood,UH,1,453.02,1371.99,2538.23
exc001,F,hid,IH,2,651.29,2426.93,3039.28
exc001,F,had,AE,3,946.49,1615.68,2470.31
exc001,F,hood,UH,1,589.15,1447.78,2811.4
jmc003,F,hid,IH,2,680.15,2216.93,3095.43
jmc003,F,had,AE,3,898.51,1726.3,3029.45
jmc003,F,hood,UH,1,602.26,1699.22,2742.36
bxp001,M,hid,IH,2,398.85,2218.09,2793.05
bxp001,M,had,AE,3,827.42,1678.58,2636.01
bxp001,M,hood,UH,1,913.52,2379.42,3298.04
cgm001,M,hid,IH,2,425.18,2224.67,2878.14
cgm001,M,had,AE,3,867.42,1436.98,2528.86
cgm001,M,hood,UH,1,1028.35,2199.62,3066.58
cxg001,M,hid,IH,2,465.28,2079.57,2721.81
